,Country,Airport Name,City,IATA Code
1,Turkey,Istanbul Airport,Istanbul,IST
2,Turkey,Sabiha Gökçen International Airport,Istanbul,SAW
3,Turkey,Antalya Airport,Antalya,AYT
4,Turkey,Adnan Menderes Airport,Izmir,ADB
5,Turkey,Ankara Esenboğa Airport,Ankara,ESB
6,Turkey,Trabzon Airport,Trabzon,TZX
7,Turkey,Dalaman Airport,Dalaman,DLM
8,Turkey,Milas-Bodrum Airport,Bodrum,BJV
9,Turkey,Gazipaşa-Alanya Airport,Alanya,GZP
10,Turkey,Nevşehir Kapadokya Airport,Nevşehir,NAV
11,UAE,Dubai International Airport,Dubai,DXB
12,UAE,Al Maktoum International Airport,Dubai,DWC
13,UAE,Zayed International Airport,Abu Dhabi,AUH
14,UAE,Sharjah International Airport,Sharjah,SHJ
15,UAE,Ras Al Khaimah International Airport,Ras Al Khaimah,RKT
16,UAE,Fujairah International Airport,Fujairah,FJR
17,UAE,Al Ain International Airport,Al Ain,AAN
18,Morocco,Mohammed V International Airport,Casablanca,CMN
19,Morocco,Marrakesh Menara Airport,Marrakesh,RAK
20,Morocco,Agadir Al Massira Airport,Agadir,AGA
21,Morocco,Tangier Ibn Battouta Airport,Tangier,TNG
22,Morocco,Fès–Saïss Airport,Fes,FEZ
23,Morocco,Rabat–Salé Airport,Rabat,RBA
24,Jordan,Queen Alia International Airport,Amman,AMM
25,Jordan,King Hussein International Airport,Aqaba,AQJ
26,Georgia,Tbilisi International Airport,Tbilisi,TBS
27,Georgia,Batumi International Airport,Batumi,BUS
28,Georgia,Kutaisi International Airport,Kutaisi,KUT
29,Egypt,Cairo International Airport,Cairo,CAI
30,Egypt,Sphinx International Airport,Giza,SPX
31,Egypt,Hurghada International Airport,Hurghada,HRG
32,Egypt,Sharm El Sheikh International Airport,Sharm El Sheikh,SSH
33,Egypt,Borg El Arab International Airport,Alexandria,HBE
34,Egypt,Luxor International Airport,Luxor,LXR
35,Egypt,Aswan International Airport,Aswan,ASW
36,Egypt,Marsa Alam International Airport,Marsa Alam,RMF
37,Kuwait,Kuwait International Airport,Kuwait City,KWI
38,Saudi Arabia,King Khalid International Airport,Riyadh,RUH
39,Saudi Arabia,King Abdulaziz International Airport,Jeddah,JED
40,Saudi Arabia,King Fahd International Airport,Dammam,DMM
41,Saudi Arabia,Prince Mohammad Bin Abdulaziz Airport,Madinah,MED
42,Saudi Arabia,Abha International Airport,Abha,AHB
43,Saudi Arabia,Taif International Airport,Taif,TIF
44,Saudi Arabia,Tabuk Regional Airport,Tabuk,TAB
45,Saudi Arabia,Jazan Airport,Jazan,GIZ
46,Saudi Arabia,Prince Naif Bin Abdulaziz Airport,Qassim,ELQ
47,Saudi Arabia,AlUla International Airport,AlUla,ULH
48,Saudi Arabia,Yanbu Airport,Yanbu,YNB
49,Bahrain,Bahrain International Airport,Muharraq,BAH
50,Qatar,Hamad International Airport,Doha,DOH
