Country,"Branch Name",City,"Location Type",Abbreviation
Albania,"Durres Port",DURRËS,Port,DBVP01
Albania,"Saranda Downtown",SARANDË,City,EXTC03
Albania,"Saranda Liman","Saranda Liman",Downtown,411
Albania,"Saranda Port",SARANDË,Port,EXTP02
Albania,"Shkodra Downtown",SHKODËR,City,EXTC04
Albania,"Tirana Airport",RINAS,Airport,TIAA01
Albania,"Tirana Airport","Tirana Airport",Airport,
Albania,"Tirana Airport, Tirana",Tirana,Airport,TIA
Albania,"Tirana City",Tirana,Office,TIAC
Albania,"Tirana International Airport (TIA)","Tirana International Airport (TIA)",Airport,TIA
Albania,"Tirana Office",TIRANA,Office,TIAC02
Albania,"Tiran Uluslararası Havalimanı (TIA)","Tiran Uluslararası Havalimanı (TIA)",Airport,TIA
Albania,"Vlora Port",VLORË,Port,EXTP05
"Antigua And Barbuda","St John Airport","Saint John",Airport,ANU
"Antigua And Barbuda","VC Bird International Airport (ANU)","VC Bird International Airport (ANU)",Airport,ANU
Argentina,"Bahia Blanca","Bahía Blanca",Airport,BHI
Argentina,"Bariloche Airport","San Carlos de Bariloche",Airport,BRC
Argentina,"Bariloche Downtown","San Carlos de Bariloche",Office,BRCZ
Argentina,"Bariloche Playa Bonita","San Carlos de Bariloche",Office,BRCHC
Argentina,"Buenos Aires City","Buenos Aires",Office,AEPZ
Argentina,"Buenos Aires delivery - Belgrano","Buenos Aires",BusTerminal,AEPB
Argentina,"Buenos Aires delivery - Nuñez","Buenos Aires",BusTerminal,AEPN
Argentina,"Buenos Aires delivery - Puerto Madero","Buenos Aires",BusTerminal,AEPM
Argentina,"Buenos Aires delivery - Saavedra","Buenos Aires",BusTerminal,AEPS
Argentina,"Buenos Aires Entrega a domicilio Palermo","Buenos Aires",BusTerminal,AEPP
Argentina,"Comodoro Rivadavia Airport","Comodoro Rivadavia",Airport,CRD
Argentina,"El Calafate Airport","El Calafate",Airport,FTE
Argentina,"Ezeiza Airport","Buenos Aires",Airport,EZE
Argentina,"Mendoza Airport",Mendoza,Airport,MDZ
Argentina,"Neuquen Airport",Neuquen,Airport,NQN
Argentina,"Puerto Madryn Airport","Puerto Madryn",Airport,PMY
Argentina,"Rio Gallegos Airport","Rio gallegos",Airport,RGL
Argentina,"Salta Airport",Salta,Airport,SLA
Argentina,"Salta Downtown",Salta,Office,SLAZ
Argentina,"San Juan Airport","San Juan",Airport,UAQ
Argentina,"San Martín de los Andes Airport","San Martin de los Andes",Airport,CPC
Argentina,"Trelew Airport",Trelew,Airport,REL
Argentina,"Vicente Lopez","Vicente Lopez",Office,AEPVL
Armenia,"Armenia Downtown","Armenia Downtown",,
Armenia,"Yerevan City",Yerevan,Office,EVNZ
Armenia,"Zvartnots international airport","Zvartnots international airport",Airport,
Armenia,"Zvartnots International Airport",Yerevan,Airport,EVN
Australia,"Gold Coast Airport (OOL)","Gold Coast Airport (OOL)",Airport,OOL
Australia,"Hobart Airport (HBA)","Hobart Airport (HBA)",Airport,HBA
Australia,"Launceston Airport (LST)","Launceston Airport (LST)",Airport,LST
Australia,"Melbourne Airport (MEL)","Melbourne Airport (MEL)",Airport,MEL
Australia,"Perth Airport",REDCLIFFE,Airport,PERA01
Australia,"Perth Downtown","VICTORIA PARK",Office,PERC01
Australia,"Sydney International Airport (SYD)","Sydney International Airport (SYD)",Airport,SYD
Azerbaijan,"Baku Airport",BAKU,Airport,GYDA01
Azerbaijan,"Baku Hotel",BAKI,Hotel,GYDH01
Azerbaijan,"Baku Office",BAKI,Office,GYDC01
Bahamas,"Nassau Airport (NAS)","Nassau Airport (NAS)",Airport,NAS
Bahrain,"Arad Dwtn,Bahrain",Muharraq,Downtown,ARD
Bahrain,"Bahrain Apt, Bahrain",Manama,Downtown,BHA
Bahrain,"Budaiya Dwtn,Bahrain",Budaiya,Downtown,BYD
Bahrain,"Jumeirah, Bahrain",Zallaq,Downtown,JMH
Bahrain,"Manama All Loc, Bahrain",Manama,Downtown,MLA
Bahrain,"Manama Dwtn, Bahrain",Manama,Downtown,MAD
Bahrain,"Manama Gulf Htl,Bahrain",Manama,Downtown,MGH
Bahrain,"Manama HiltonHtl, Bahrain",Manama,Downtown,MHH
Bahrain,"Manama Juffair, Bahrain",Manama,Downtown,MAJ
Bahrain,"Manama Seef, Bahrain",Manama,Downtown,MAS
Bahrain,"Riffa, Bahrain",Riffa,Downtown,RFF
Bahrain,"Riffa Dwtn,Bahrain",Riffa,Downtown,RFD
Bahrain,"Salmabad Dwtn, Bahrain",Salmabad,Downtown,SMD
Bahrain,"Sanabis Dwtn, Bahrain",Manma,Downtown,SND
Bahrain,"Sanad Dwtn, Bahrain",Sanad,Downtown,SDW
Bahrain,"South Sehla Dwtn,Bahrain",Manama,Downtown,SSD
Bahrain,"Wyndham Grand, Bahrain",Manama,Downtown,WGM
Bahrain,"Zallaq Dwtn, Bahrain",Zallaq,Downtown,ZQD
Bahrain,"Zallaq Sofitel, Bahrain",Zallaq,Downtown,ZSF
"Bosnia And Herzegovina","Banja Luka","BANJA LUKA",City,BNXC01
"Bosnia And Herzegovina","Mostar Airport",MOSTAR,Airport,OMOA01
"Bosnia And Herzegovina","Mostar Otogar","Mostar Otogar",Downtown,341
"Bosnia And Herzegovina","Sarajevo Airport",SARAJEVO,Airport,SJJA01
